sales_date,product,sales_quantity,price_per_item,total
2014-01-21,Ayam Goreng,1,7000,7000
2014-01-22,Ayam Goreng,2,7000,14000
2014-01-22,Ayam Goreng,1,7000,7000
2014-01-22,Ayam Goreng,1,7000,7000
2014-01-22,Ayam Goreng,1,7000,7000
2014-01-22,Ayam Goreng,2,7000,14000
2014-01-23,Ayam Goreng,1,7000,7000
2014-01-23,Ayam Goreng,1,7000,7000
2014-01-23,Ayam Goreng,1,7000,7000
2014-01-23,Ayam Goreng,1,7000,7000
2014-01-24,Ayam Goreng,2,7000,14000
2014-01-24,Ayam Goreng,1,7000,7000
2014-01-24,Ayam Goreng,1,7000,7000
2014-01-24,Ayam Goreng,1,7000,7000
2014-01-24,Ayam Goreng,1,7000,7000
2014-01-25,Ayam Goreng,2,7000,14000
2014-01-25,Ayam Goreng,1,7000,7000
2014-01-25,Ayam Goreng,1,7000,7000
2014-01-25,Ayam Goreng,1,7000,7000
2014-01-25,Ayam Goreng,1,7000,7000
2014-01-26,Ayam Goreng,1,7000,7000
2014-01-26,Ayam Goreng,2,7000,14000
2014-01-26,Ayam Goreng,2,7000,14000
2014-01-27,Ayam Goreng,1,7000,7000
2014-01-27,Ayam Goreng,2,7000,14000
2014-01-27,Ayam Goreng,2,7000,14000
2014-01-28,Ayam Goreng,1,7000,7000
2014-01-28,Ayam Goreng,2,7000,14000
2014-01-28,Ayam Goreng,1,7000,7000
2014-01-28,Ayam Goreng,1,7000,7000
2014-01-28,Ayam Goreng,1,7000,7000
2014-01-29,Ayam Goreng,2,7000,14000
2014-01-29,Ayam Goreng,1,7000,7000
2014-01-29,Ayam Goreng,1,7000,7000
2014-01-29,Ayam Goreng,2,7000,14000
2014-01-30,Ayam Goreng,1,7000,7000
2014-01-30,Ayam Goreng,1,7000,7000
2014-01-30,Ayam Goreng,1,7000,7000
2014-01-30,Ayam Goreng,1,7000,7000
2014-01-30,Ayam Goreng,1,7000,7000
2014-01-31,Ayam Goreng,1,7000,7000
2014-02-01,Ayam Goreng,1,7000,7000
2014-02-01,Ayam Goreng,1,7000,7000
2014-02-01,Ayam Goreng,1,7000,7000
2014-02-01,Ayam Goreng,1,7000,7000
2014-02-01,Ayam Goreng,1,7000,7000
2014-02-02,Ayam Goreng,1,7000,7000
2014-02-02,Ayam Goreng,1,7000,7000
2014-02-02,Ayam Goreng,2,7000,14000
2014-02-02,Ayam Goreng,1,7000,7000
2014-02-02,Ayam Goreng,2,7000,14000
2014-02-03,Ayam Goreng,1,7000,7000
2014-02-03,Ayam Goreng,1,7000,7000
2014-02-03,Ayam Goreng,1,7000,7000
2014-02-03,Ayam Goreng,1,7000,7000
2014-02-03,Ayam Goreng,1,7000,7000
2014-02-04,Ayam Goreng,1,7000,7000
2014-02-04,Ayam Goreng,1,7000,7000
2014-02-05,Ayam Goreng,1,7000,7000
2014-02-05,Ayam Goreng,1,7000,7000
2014-02-05,Ayam Goreng,1,7000,7000
2014-02-06,Ayam Goreng,1,7000,7000
2014-02-06,Ayam Goreng,2,7000,14000
2014-02-06,Ayam Goreng,1,7000,7000
2014-02-07,Ayam Goreng,1,7000,7000
2014-02-07,Ayam Goreng,2,7000,14000
2014-02-07,Ayam Goreng,1,7000,7000
2014-02-08,Ayam Goreng,2,7000,14000
2014-02-08,Ayam Goreng,1,7000,7000
2014-02-08,Ayam Goreng,1,7000,7000
2014-02-09,Ayam Goreng,4,7000,28000
2014-02-10,Ayam Goreng,1,7000,7000
2014-02-10,Ayam Goreng,2,7000,14000
2014-02-10,Ayam Goreng,1,7000,7000
2014-02-10,Ayam Goreng,1,7000,7000
2014-02-11,Ayam Goreng,1,7000,7000
2014-02-11,Ayam Goreng,5,7000,35000
2014-02-11,Ayam Goreng,2,7000,14000
2014-02-11,Ayam Goreng,2,7000,14000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-12,Ayam Goreng,2,7000,14000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-12,Ayam Goreng,1,7000,7000
2014-02-13,Ayam Goreng,2,7000,14000
2014-02-13,Ayam Goreng,1,7000,7000
2014-02-13,Ayam Goreng,1,7000,7000
2014-02-13,Ayam Goreng,1,7000,7000
2014-02-14,Ayam Goreng,1,7000,7000
2014-02-14,Ayam Goreng,1,7000,7000
2014-02-14,Ayam Goreng,1,7000,7000
2014-02-14,Ayam Goreng,1,7000,7000
2014-02-15,Ayam Goreng,1,7000,7000
2014-02-17,Ayam Goreng,1,7000,7000
2014-02-17,Ayam Goreng,2,7000,14000
2014-02-17,Ayam Goreng,2,7000,14000
2014-02-17,Ayam Goreng,1,7000,7000
2014-02-17,Ayam Goreng,2,7000,14000
2014-02-18,Ayam Goreng,3,7000,21000
2014-02-18,Ayam Goreng,1,7000,7000
2014-02-18,Ayam Goreng,1,7000,7000
2014-02-18,Ayam Goreng,1,7000,7000
2014-02-18,Ayam Goreng,1,7000,7000
2014-02-18,Ayam Goreng,1,7000,7000
2014-02-19,Ayam Goreng,1,7000,7000
2014-02-19,Ayam Goreng,1,7000,7000
2014-02-19,Ayam Goreng,2,7000,14000
2014-02-20,Ayam Goreng,1,7000,7000
2014-02-20,Ayam Goreng,1,7000,7000
2014-02-20,Ayam Goreng,2,7000,14000
2014-02-20,Ayam Goreng,1,7000,7000
2014-02-20,Ayam Goreng,1,7000,7000
2014-02-20,Ayam Goreng,1,7000,7000
2014-02-21,Ayam Goreng,2,7000,14000
2014-02-21,Ayam Goreng,1,7000,7000
2014-02-21,Ayam Goreng,2,7000,14000
2014-02-21,Ayam Goreng,1,7000,7000
2014-02-22,Ayam Goreng,1,7000,7000
2014-02-22,Ayam Goreng,3,7000,21000
2014-02-22,Ayam Goreng,1,7000,7000
2014-02-22,Ayam Goreng,1,7000,7000
2014-02-22,Ayam Goreng,1,7000,7000
2014-02-23,Ayam Goreng,1,7000,7000
2014-02-24,Ayam Goreng,1,7000,7000
2014-02-24,Ayam Goreng,1,7000,7000
2014-02-24,Ayam Goreng,1,7000,7000
2014-02-24,Ayam Goreng,2,7000,14000
2014-02-24,Ayam Goreng,1,7000,7000
2014-02-24,Ayam Goreng,1,7000,7000
2014-02-25,Ayam Goreng,1,7000,7000
2014-02-25,Ayam Goreng,1,7000,7000
2014-02-25,Ayam Goreng,1,7000,7000
2014-02-25,Ayam Goreng,1,7000,7000
2014-02-25,Ayam Goreng,1,7000,7000
2014-02-26,Ayam Goreng,1,7000,7000
2014-02-26,Ayam Goreng,1,7000,7000
2014-02-26,Ayam Goreng,1,7000,7000
2014-02-26,Ayam Goreng,1,7000,7000
2014-02-26,Ayam Goreng,1,7000,7000
2014-02-27,Ayam Goreng,1,7000,7000
2014-02-27,Ayam Goreng,1,7000,7000
2014-02-27,Ayam Goreng,1,7000,7000
2014-02-28,Ayam Goreng,2,7000,14000
2014-02-28,Ayam Goreng,1,7000,7000
2014-02-28,Ayam Goreng,2,7000,14000
2014-02-28,Ayam Goreng,1,7000,7000
2014-02-28,Ayam Goreng,1,7000,7000
2014-03-01,Ayam Goreng,1,7000,7000
2014-03-01,Ayam Goreng,1,7000,7000
2014-03-01,Ayam Goreng,2,7000,14000
2014-03-01,Ayam Goreng,1,7000,7000
2014-03-01,Ayam Goreng,1,7000,7000
2014-03-01,Ayam Goreng,1,7000,7000
2014-03-02,Ayam Goreng,1,7000,7000
2014-03-02,Ayam Goreng,3,7000,21000
2014-03-03,Ayam Goreng,1,7000,7000
2014-03-03,Ayam Goreng,1,7000,7000
2014-03-03,Ayam Goreng,1,7000,7000
2014-03-03,Ayam Goreng,1,7000,7000
2014-03-04,Ayam Goreng,1,7000,7000
2014-03-04,Ayam Goreng,1,7000,7000
2014-03-04,Ayam Goreng,1,7000,7000
2014-03-04,Ayam Goreng,1,7000,7000
2014-03-04,Ayam Goreng,1,7000,7000
2014-03-04,Ayam Goreng,1,7000,7000
2014-03-05,Ayam Goreng,2,7000,14000
2014-03-05,Ayam Goreng,1,7000,7000
2014-03-05,Ayam Goreng,1,7000,7000
2014-03-06,Ayam Goreng,1,7000,7000
2014-03-06,Ayam Goreng,1,7000,7000
2014-03-06,Ayam Goreng,1,7000,7000
2014-03-07,Ayam Goreng,1,7000,7000
2014-03-07,Ayam Goreng,1,7000,7000
2014-03-07,Ayam Goreng,2,7000,14000
2014-03-08,Ayam Goreng,1,7000,7000
2014-03-08,Ayam Goreng,1,7000,7000
2014-03-08,Ayam Goreng,2,7000,14000
2014-03-08,Ayam Goreng,1,7000,7000
2014-03-09,Ayam Goreng,1,7000,7000
2014-03-10,Ayam Goreng,2,7000,14000
2014-03-10,Ayam Goreng,1,7000,7000
2014-03-10,Ayam Goreng,1,7000,7000
2014-03-10,Ayam Goreng,1,7000,7000
2014-03-10,Ayam Goreng,1,7000,7000
2014-03-10,Ayam Goreng,1,7000,7000
2014-03-10,Ayam Goreng,1,7000,7000
2014-03-11,Ayam Goreng,1,7000,7000
2014-03-11,Ayam Goreng,1,7000,7000
2014-03-11,Ayam Goreng,1,7000,7000
2014-03-11,Ayam Goreng,1,7000,7000
2014-03-11,Ayam Goreng,2,7000,14000
2014-03-12,Ayam Goreng,1,7000,7000
2014-03-12,Ayam Goreng,1,7000,7000
2014-03-12,Ayam Goreng,2,7000,14000
2014-03-12,Ayam Goreng,1,7000,7000
2014-03-12,Ayam Goreng,1,7000,7000
2014-03-12,Ayam Goreng,1,7000,7000
2014-03-13,Ayam Goreng,2,7000,14000
2014-03-13,Ayam Goreng,1,7000,7000
2014-03-14,Ayam Goreng,1,7000,7000
2014-03-14,Ayam Goreng,1,7000,7000
2014-03-14,Ayam Goreng,1,7000,7000
2014-03-14,Ayam Goreng,1,7000,7000
2014-03-14,Ayam Goreng,1,7000,7000
2014-03-15,Ayam Goreng,1,7000,7000
2014-03-15,Ayam Goreng,1,7000,7000
2014-03-15,Ayam Goreng,1,7000,7000
2014-03-15,Ayam Goreng,1,7000,7000
2014-03-16,Ayam Goreng,1,7000,7000
2014-03-16,Ayam Goreng,2,7000,14000
2014-03-16,Ayam Goreng,1,7000,7000
2014-03-17,Ayam Goreng,2,7000,14000
2014-03-17,Ayam Goreng,2,7000,14000
2014-03-17,Ayam Goreng,2,7000,14000
2014-03-17,Ayam Goreng,2,7000,14000
2014-03-17,Ayam Goreng,1,7000,7000
2014-03-17,Ayam Goreng,1,7000,7000
2014-03-18,Ayam Goreng,1,7000,7000
2014-03-18,Ayam Goreng,1,7000,7000
2014-03-18,Ayam Goreng,2,7000,14000
2014-03-18,Ayam Goreng,1,7000,7000
2014-03-18,Ayam Goreng,1,7000,7000
2014-03-18,Ayam Goreng,1,7000,7000
2014-03-18,Ayam Goreng,1,7000,7000
2014-03-19,Ayam Goreng,2,7000,14000
2014-03-19,Ayam Goreng,1,7000,7000
2014-03-19,Ayam Goreng,1,7000,7000
2014-03-20,Ayam Goreng,1,7000,7000
2014-03-20,Ayam Goreng,1,7000,7000
2014-03-20,Ayam Goreng,1,7000,7000
2014-03-21,Ayam Goreng,1,7000,7000
2014-03-21,Ayam Goreng,1,7000,7000
2014-03-21,Ayam Goreng,2,7000,14000
2014-03-21,Ayam Goreng,1,7000,7000
2014-03-21,Ayam Goreng,1,7000,7000
2014-03-22,Ayam Goreng,1,7000,7000
2014-03-22,Ayam Goreng,3,7000,21000
2014-03-23,Ayam Goreng,4,7000,28000
2014-03-23,Ayam Goreng,2,7000,14000
2014-03-23,Ayam Goreng,1,7000,7000
2014-03-24,Ayam Goreng,1,7000,7000
2014-03-24,Ayam Goreng,1,7000,7000
2014-03-24,Ayam Goreng,1,7000,7000
2014-03-24,Ayam Goreng,3,7000,21000
2014-03-24,Ayam Goreng,1,7000,7000
2014-03-25,Ayam Goreng,1,7000,7000
2014-03-25,Ayam Goreng,1,7000,7000
2014-03-25,Ayam Goreng,1,7000,7000
2014-03-25,Ayam Goreng,1,7000,7000
2014-03-26,Ayam Goreng,1,7000,7000
2014-03-26,Ayam Goreng,1,7000,7000
2014-03-26,Ayam Goreng,1,7000,7000
2014-03-27,Ayam Goreng,2,7000,14000
2014-03-27,Ayam Goreng,1,7000,7000
2014-03-27,Ayam Goreng,1,7000,7000
2014-03-28,Ayam Goreng,1,7000,7000
2014-03-28,Ayam Goreng,1,7000,7000
2014-03-28,Ayam Goreng,1,7000,7000
2014-03-28,Ayam Goreng,1,7000,7000
2014-03-29,Ayam Goreng,1,7000,7000
2014-03-29,Ayam Goreng,2,7000,14000
2014-03-29,Ayam Goreng,1,7000,7000
2014-03-30,Ayam Goreng,1,7000,7000
2014-03-30,Ayam Goreng,2,7000,14000
2014-03-31,Ayam Goreng,1,7000,7000
2014-03-31,Ayam Goreng,1,7000,7000
2014-03-31,Ayam Goreng,1,7000,7000
2014-03-31,Ayam Goreng,1,7000,7000
2014-03-31,Ayam Goreng,1,7000,7000
2014-03-31,Ayam Goreng,1,7000,7000
2014-04-01,Ayam Goreng,1,7000,7000
2014-04-01,Ayam Goreng,1,7000,7000
2014-04-01,Ayam Goreng,2,7000,14000
2014-04-01,Ayam Goreng,1,7000,7000
2014-04-02,Ayam Goreng,1,7000,7000
2014-04-02,Ayam Goreng,1,7000,7000
2014-04-03,Ayam Goreng,1,7000,7000
2014-04-04,Ayam Goreng,1,7000,7000
2014-04-04,Ayam Goreng,1,7000,7000
2014-04-04,Ayam Goreng,1,7000,7000
2014-04-05,Ayam Goreng,1,7000,7000
2014-04-05,Ayam Goreng,1,7000,7000
2014-04-06,Ayam Goreng,1,7000,7000
2014-04-06,Ayam Goreng,1,7000,7000
2014-04-07,Ayam Goreng,1,7000,7000
2014-04-07,Ayam Goreng,3,7000,21000
2014-04-07,Ayam Goreng,1,7000,7000
2014-04-07,Ayam Goreng,1,7000,7000
2014-04-07,Ayam Goreng,1,7000,7000
2014-04-08,Ayam Goreng,1,7000,7000
2014-04-08,Ayam Goreng,1,7000,7000
2014-04-08,Ayam Goreng,1,7000,7000
2014-04-08,Ayam Goreng,1,7000,7000
2014-04-08,Ayam Goreng,1,7000,7000
2014-04-09,Ayam Goreng,1,7000,7000
2014-04-09,Ayam Goreng,1,7000,7000
2014-04-09,Ayam Goreng,4,7000,28000
2014-04-10,Ayam Goreng,1,7000,7000
2014-04-10,Ayam Goreng,1,7000,7000
2014-04-10,Ayam Goreng,1,7000,7000
2014-04-10,Ayam Goreng,1,7000,7000
2014-04-11,Ayam Goreng,2,7000,14000
2014-04-11,Ayam Goreng,2,7000,14000
2014-04-11,Ayam Goreng,1,7000,7000
2014-04-11,Ayam Goreng,1,7000,7000
2014-04-12,Ayam Goreng,1,7000,7000
2014-04-12,Ayam Goreng,2,7000,14000
2014-04-12,Ayam Goreng,2,7000,14000
2014-04-12,Ayam Goreng,1,7000,7000
2014-04-12,Ayam Goreng,2,7000,14000
2014-04-12,Ayam Goreng,1,7000,7000
2014-04-13,Ayam Goreng,1,7000,7000
2014-04-13,Ayam Goreng,2,7000,14000
2014-04-14,Ayam Goreng,1,7000,7000
2014-04-14,Ayam Goreng,1,7000,7000
2014-04-15,Ayam Goreng,1,7000,7000
2014-04-15,Ayam Goreng,2,7000,14000
2014-04-15,Ayam Goreng,1,7000,7000
2014-04-15,Ayam Goreng,1,7000,7000
2014-04-16,Ayam Goreng,1,7000,7000
2014-04-16,Ayam Goreng,1,7000,7000
2014-04-17,Ayam Goreng,1,7000,7000
2014-04-17,Ayam Goreng,1,7000,7000
2014-04-17,Ayam Goreng,2,7000,14000
2014-04-17,Ayam Goreng,1,7000,7000
2014-04-17,Ayam Goreng,1,7000,7000
2014-04-18,Ayam Goreng,3,7000,21000
2014-04-18,Ayam Goreng,1,7000,7000
2014-04-18,Ayam Goreng,1,7000,7000
2014-04-18,Ayam Goreng,1,7000,7000
2014-04-18,Ayam Goreng,1,7000,7000
2014-04-19,Ayam Goreng,5,7000,35000
2014-04-19,Ayam Goreng,2,7000,14000
2014-04-19,Ayam Goreng,1,7000,7000
2014-04-21,Ayam Goreng,1,7000,7000
2014-04-21,Ayam Goreng,1,7000,7000
2014-04-22,Ayam Goreng,1,7000,7000
2014-04-22,Ayam Goreng,1,7000,7000
2014-04-22,Ayam Goreng,2,7000,14000
2014-04-22,Ayam Goreng,1,7000,7000
2014-04-22,Ayam Goreng,1,7000,7000
2014-04-23,Ayam Goreng,1,7000,7000
2014-04-23,Ayam Goreng,1,7000,7000
2014-04-23,Ayam Goreng,3,7000,21000
2014-04-23,Ayam Goreng,1,7000,7000
2014-04-23,Ayam Goreng,1,7000,7000
2014-04-24,Ayam Goreng,1,7000,7000
2014-04-24,Ayam Goreng,1,7000,7000
2014-04-25,Ayam Goreng,1,7000,7000
2014-04-25,Ayam Goreng,1,7000,7000
2014-04-25,Ayam Goreng,1,7000,7000
2014-04-26,Ayam Goreng,1,7000,7000
2014-04-26,Ayam Goreng,2,7000,14000
2014-04-26,Ayam Goreng,2,7000,14000
2014-04-27,Ayam Goreng,1,7000,7000
2014-04-27,Ayam Goreng,1,7000,7000
2014-04-27,Ayam Goreng,2,7000,14000
2014-04-28,Ayam Goreng,1,7000,7000
2014-04-28,Ayam Goreng,1,7000,7000
2014-04-29,Ayam Goreng,2,7000,14000
2014-04-29,Ayam Goreng,1,7000,7000
2014-04-29,Ayam Goreng,1,7000,7000
2014-04-30,Ayam Goreng,1,7000,7000
2014-04-30,Ayam Goreng,1,7000,7000
2014-04-30,Ayam Goreng,1,7000,7000
2014-04-30,Ayam Goreng,1,7000,7000
2014-04-30,Ayam Goreng,1,7000,7000
2014-05-02,Ayam Goreng,1,7000,7000
2014-05-02,Ayam Goreng,1,7000,7000
2014-05-02,Ayam Goreng,3,7000,21000
2014-05-02,Ayam Goreng,2,7000,14000
2014-05-02,Ayam Goreng,1,7000,7000
2014-05-03,Ayam Goreng,1,7000,7000
2014-05-03,Ayam Goreng,1,7000,7000
2014-05-03,Ayam Goreng,1,7000,7000
2014-05-03,Ayam Goreng,1,7000,7000
2014-05-04,Ayam Goreng,2,7000,14000
2014-05-04,Ayam Goreng,1,7000,7000
2014-05-05,Ayam Goreng,2,7000,14000
2014-05-05,Ayam Goreng,1,7000,7000
2014-05-06,Ayam Goreng,4,7000,28000
2014-05-06,Ayam Goreng,1,7000,7000
2014-05-06,Ayam Goreng,1,7000,7000
2014-05-06,Ayam Goreng,1,7000,7000
2014-05-06,Ayam Goreng,1,7000,7000
2014-05-07,Ayam Goreng,1,7000,7000
2014-05-07,Ayam Goreng,1,7000,7000
2014-05-07,Ayam Goreng,1,7000,7000
2014-05-07,Ayam Goreng,1,7000,7000
2014-05-08,Ayam Goreng,1,7000,7000
2014-05-08,Ayam Goreng,1,7000,7000
2014-05-09,Ayam Goreng,1,7000,7000
2014-05-09,Ayam Goreng,1,7000,7000
2014-05-10,Ayam Goreng,3,7000,21000
2014-05-10,Ayam Goreng,1,7000,7000
2014-05-10,Ayam Goreng,1,7000,7000
2014-05-11,Ayam Goreng,1,7000,7000
2014-05-11,Ayam Goreng,1,7000,7000
2014-05-12,Ayam Goreng,1,7000,7000
2014-05-12,Ayam Goreng,1,7000,7000
2014-05-12,Ayam Goreng,1,7000,7000
2014-05-12,Ayam Goreng,1,7000,7000
2014-05-12,Ayam Goreng,1,7000,7000
2014-05-13,Ayam Goreng,3,7000,21000
2014-05-13,Ayam Goreng,1,7000,7000
2014-05-13,Ayam Goreng,1,7000,7000
2014-05-14,Ayam Goreng,1,7000,7000
2014-05-15,Ayam Goreng,1,7000,7000
2014-05-15,Ayam Goreng,1,7000,7000
2014-05-15,Ayam Goreng,1,7000,7000
2014-05-16,Ayam Goreng,1,7000,7000
2014-05-16,Ayam Goreng,1,7000,7000
2014-05-16,Ayam Goreng,1,7000,7000
2014-05-16,Ayam Goreng,1,7000,7000
2014-05-16,Ayam Goreng,1,7000,7000
2014-05-16,Ayam Goreng,1,7000,7000
2014-05-17,Ayam Goreng,1,7000,7000
2014-05-17,Ayam Goreng,2,7000,14000
2014-05-18,Ayam Goreng,1,7000,7000
2014-05-18,Ayam Goreng,2,7000,14000
2014-05-18,Ayam Goreng,1,7000,7000
2014-05-19,Ayam Goreng,2,7000,14000
2014-05-19,Ayam Goreng,3,7000,21000
2014-05-19,Ayam Goreng,1,7000,7000
2014-05-19,Ayam Goreng,1,7000,7000
2014-05-19,Ayam Goreng,2,7000,14000
2014-05-20,Ayam Goreng,1,7000,7000
2014-05-21,Ayam Goreng,1,7000,7000
2014-05-21,Ayam Goreng,1,7000,7000
2014-05-22,Ayam Goreng,1,7000,7000
2014-05-22,Ayam Goreng,2,7000,14000
2014-05-22,Ayam Goreng,1,7000,7000
2014-05-22,Ayam Goreng,1,7000,7000
2014-05-23,Ayam Goreng,1,7000,7000
2014-05-23,Ayam Goreng,1,7000,7000
2014-05-23,Ayam Goreng,1,7000,7000
2014-05-23,Ayam Goreng,1,7000,7000
2014-05-23,Ayam Goreng,1,7000,7000
2014-05-24,Ayam Goreng,1,7000,7000
2014-05-24,Ayam Goreng,1,7000,7000
2014-05-24,Ayam Goreng,1,7000,7000
2014-05-25,Ayam Goreng,2,7000,14000
2014-05-26,Ayam Goreng,2,7000,14000
2014-05-26,Ayam Goreng,1,7000,7000
2014-05-26,Ayam Goreng,1,7000,7000
2014-05-28,Ayam Goreng,1,7000,7000
2014-05-28,Ayam Goreng,1,7000,7000
2014-05-29,Ayam Goreng,1,7000,7000
2014-05-29,Ayam Goreng,3,7000,21000
2014-05-30,Ayam Goreng,1,7000,7000
2014-05-30,Ayam Goreng,1,7000,7000
2014-05-30,Ayam Goreng,1,7000,7000
2014-05-30,Ayam Goreng,1,7000,7000
2014-05-30,Ayam Goreng,1,7000,7000
2014-05-31,Ayam Goreng,1,7000,7000
2014-05-31,Ayam Goreng,1,7000,7000
2014-05-31,Ayam Goreng,1,7000,7000
2014-05-31,Ayam Goreng,1,7000,7000
2014-05-31,Ayam Goreng,1,7000,7000
2014-05-31,Ayam Goreng,1,7000,7000
2014-06-01,Ayam Goreng,1,7000,7000
2014-06-02,Ayam Goreng,2,7000,14000
2014-06-02,Ayam Goreng,1,7000,7000
2014-06-02,Ayam Goreng,1,7000,7000
2014-06-03,Ayam Goreng,1,7000,7000
2014-06-03,Ayam Goreng,1,7000,7000
2014-06-03,Ayam Goreng,1,7000,7000
2014-06-04,Ayam Goreng,1,7000,7000
2014-06-05,Ayam Goreng,1,7000,7000
2014-06-06,Ayam Goreng,2,7000,14000
2014-06-06,Ayam Goreng,2,7000,14000
2014-06-06,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-07,Ayam Goreng,2,7000,14000
2014-06-07,Ayam Goreng,1,7000,7000
2014-06-08,Ayam Goreng,1,7000,7000
2014-06-09,Ayam Goreng,1,7000,7000
2014-06-09,Ayam Goreng,1,7000,7000
2014-06-09,Ayam Goreng,1,7000,7000
2014-06-09,Ayam Goreng,3,7000,21000
2014-06-09,Ayam Goreng,1,7000,7000
2014-06-10,Ayam Goreng,3,7000,21000
2014-06-10,Ayam Goreng,2,7000,14000
2014-06-10,Ayam Goreng,1,7000,7000
2014-06-10,Ayam Goreng,1,7000,7000
2014-06-10,Ayam Goreng,1,7000,7000
2014-06-10,Ayam Goreng,2,7000,14000
2014-06-11,Ayam Goreng,1,7000,7000
2014-06-11,Ayam Goreng,1,7000,7000
2014-06-11,Ayam Goreng,1,7000,7000
2014-06-11,Ayam Goreng,1,7000,7000
2014-06-11,Ayam Goreng,1,7000,7000
2014-06-12,Ayam Goreng,1,7000,7000
2014-06-12,Ayam Goreng,1,7000,7000
2014-06-12,Ayam Goreng,2,7000,14000
2014-06-12,Ayam Goreng,1,7000,7000
2014-06-13,Ayam Goreng,1,7000,7000
2014-06-14,Ayam Goreng,1,7000,7000
2014-06-14,Ayam Goreng,2,7000,14000
2014-06-14,Ayam Goreng,1,7000,7000
2014-06-15,Ayam Goreng,1,7000,7000
2014-06-16,Ayam Goreng,1,7000,7000
2014-06-16,Ayam Goreng,1,7000,7000
2014-06-16,Ayam Goreng,1,7000,7000
2014-06-16,Ayam Goreng,1,7000,7000
